Gene1,Gene2,Avg_Edge_Weight,NumberOfCancerType
FAM76B|143684,CEP57|9702,2.1,9
GIMAP4|55303,GIMAP1|170575,2.0,12
GIMAP5|55340,GIMAP1|170575,2.1,10
GK3P|2713,GK|2710,2.6,12
GLUD2|2747,GLUD1|2746,2.3499999999999996,12
LSM1|27257,BRF2|55290,2.2,10
MRPL14|64928,MAD2L1BP|9587,1.95,8
MRPL38|64978,MRPL12|6182,2.1,11
MRPS16|51021,CHCHD1|118487,2.5,11
NEDD8|4738,CHMP4A|29082,2.3,9
NEDD8|4738,DAD1|1603,2.25,12
NME2|4831,NME1|4830,2.3,13
NOC2L|26155,ATAD3A|55210,2.25,12
NUDT15|55270,MED4|29079,2.1500000000000004,10
PCM1|5108,CNOT7|29883,2.2,9
POLR2J|5439,BUD31|8896,2.05,12
PPP2R5E|5529,EXOC5|10640,2.0,9
PRELID1|27166,NHP2|55651,2.3,10
PSENEN|55851,COX6B1|1340,2.1,10
PSMB6|5694,PFN1|5216,2.3,12
PSMF1|9491,NSFL1C|55968,2.3,11
PTPMT1|114971,NDUFS3|4722,2.2,9
RGPD4|285190,GCC2|9648,2.05,8
RNASE4|6038,ANG|283,2.6500000000000004,14
ROBO4|54538,CXorf36|79742,2.2,12
RPS9|6203,RPL18|6141,2.3,13
RPS9|6203,RPL28|6158,2.1,13
RPS9|6203,RPS11|6205,2.0,13
SHARPIN|81858,PUF60|22827,2.2,9
SLC25A11|8402,RNF167|26001,2.3,11
SMYD4|114826,RPA1|6117,2.05,8
SNW1|22938,ALKBH1|8846,2.25,10
SP110|3431,SP100|6672,2.2,11
STK25|10494,ATG4B|23192,2.4,11
SURF6|6838,REXO4|57109,2.0,11
TAF9|6880,CDK7|1022,2.25,8
TIE1|7075,CLEC14A|161198,2.1,11
TIMM22|29928,GLOD4|51031,2.3,9
TIMM50|92609,PSMC4|5704,1.95,8
TNKS|8658,MCPH1|79648,2.1,9
TSSC4|10078,MOB2|81532,2.1,11
